City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
190,amursk,50.2261,136.8994,3.02,68,91,0.25,RU,1682555188
191,morgan city,29.6994,-91.2068,25.0,79,36,2.76,US,1682555188
192,huilong,31.8111,121.655,15.82,69,99,5.68,CN,1682555188
193,hamilton,39.1834,-84.5333,14.47,46,0,3.09,US,1682554630
194,broome,42.2506,-75.833,7.53,93,0,2.57,US,1682555188
195,san fernando,15.0286,120.6898,29.85,61,35,4.28,PH,1682554828
196,bouca,6.5105,18.2733,21.97,85,81,1.92,CF,1682555189
197,ziro,27.6333,93.8333,9.99,89,65,1.28,IN,1682555189
198,puerto leguizamo,-0.1934,-74.7819,21.97,98,65,0.88,CO,1682555189
199,saipan,15.1355,145.701,29.39,100,75,8.75,MP,1682555189
200,noosa heads,-26.3833,153.15,21.85,75,90,6.76,AU,1682555189
201,radzymin,52.4159,21.1841,5.61,73,42,2.65,PL,1682555189
202,puerto ayora,-0.7393,-90.3518,26.42,89,49,0.89,EC,1682555190
203,bubaque,11.2833,-15.8333,25.64,71,96,5.77,GW,1682555190
204,raton,36.9034,-104.4391,5.34,65,40,7.2,US,1682555190
205,nicoya,10.1483,-85.452,28.99,63,5,2.79,CR,1682555191
206,naze,28.3667,129.4833,20.51,59,2,5.18,JP,1682555191
207,nar'yan-mar,67.6713,53.087,-7.22,95,47,4.32,RU,1682555191
208,st. john's,47.5649,-52.7093,2.6,87,100,7.72,CA,1682554898
209,hilo,19.7297,-155.09,27.93,67,0,4.12,US,1682555192
210,baqubah,33.7485,44.6554,23.27,27,46,3.64,IQ,1682555192
211,kittila,67.6647,24.8936,2.08,75,0,2.57,FI,1682555193
212,bhaisa,19.1,77.9667,25.15,61,47,4.11,IN,1682555193
213,keflavik,64.0049,-22.5624,1.24,100,100,7.2,IS,1682555193
214,hanceville,34.0607,-86.7675,16.61,82,99,3.75,US,1682555193
215,bandundu,-3.3167,17.3667,21.63,95,85,1.34,CD,1682555194
216,namibe,-15.1961,12.1522,25.27,66,64,4.27,AO,1682555194
217,myaydo,19.3667,95.2167,28.27,57,0,3.11,MM,1682555194
218,aqadyr,48.2553,72.8483,9.6,48,11,2.75,KZ,1682555194
219,afaahiti,-17.75,-149.2833,29.93,84,68,5.19,PF,1682555194
220,tanay,14.5667,121.35,28.18,70,44,3.59,PH,1682555194
221,kanye,-24.9667,25.3327,17.73,58,6,3.41,BW,1682555195
222,batroun,34.2553,35.6581,13.64,77,94,2.62,LB,1682555195
223,extrema,-22.8547,-46.3183,16.56,96,100,1.8,BR,1682555195
224,coquimbo,-29.9533,-71.3436,13.85,100,100,2.06,CL,1682555195
225,labasa,-16.4167,179.3833,29.6,66,100,3.26,FJ,1682555196
226,tommot,58.9564,126.2925,0.5,74,40,1.0,RU,1682555111
227,al ghayzah,16.2079,52.176,28.83,71,75,1.46,YE,1682555196
228,avsyunino,55.5652,39.1232,7.23,94,77,2.01,RU,1682555196
229,garissa,-0.4536,39.6401,25.37,83,92,4.85,KE,1682555197
230,camocim,-2.9022,-40.8411,25.35,89,86,4.37,BR,1682555197
231,nadi,-17.8,177.4167,30.0,66,40,6.17,FJ,1682555197
232,cabo san lucas,22.8909,-109.9124,28.12,50,0,3.09,MX,1682554968
233,labrador city,52.9463,-66.9114,6.95,49,75,1.54,CA,1682555197
234,vredendal,-31.6683,18.5012,15.34,71,100,1.71,ZA,1682555198
235,tuapse,44.1125,39.0742,13.56,56,99,2.33,RU,1682555198
236,horta,38.5333,-28.6333,15.57,87,32,7.15,PT,1682554907
237,onega,63.9061,38.1404,2.06,94,100,3.39,RU,1682555198
238,san julian,21.0167,-102.1667,26.33,8,89,7.57,MX,1682555199
239,ancud,-41.8697,-73.8203,9.53,89,97,0.99,CL,1682555199
240,kill devil hills,36.0307,-75.676,16.01,71,0,3.6,US,1682554907
241,legionowo,52.4015,20.9266,5.68,73,0,2.57,PL,1682555199
242,mugia,43.1041,-9.2179,13.84,91,97,2.97,ES,1682555200
243,yebaishou,41.3975,119.6408,13.38,41,85,5.09,CN,1682555200
244,dire dawa,9.5931,41.8661,22.19,67,25,2.24,ET,1682555201
245,juan l. lacaze,-34.4333,-57.4167,16.77,84,5,3.19,UY,1682555201
246,shanhaiguan,39.9988,119.7564,13.17,71,67,6.89,CN,1682555201
247,nova sintra,14.8667,-24.7167,20.29,76,0,7.72,CV,1682555202
248,saldanha,-33.0117,17.9442,14.03,76,93,3.65,ZA,1682555202
249,inongo,-1.95,18.2667,21.75,93,100,1.69,CD,1682555202
250,walvis bay,-22.9575,14.5053,15.61,100,9,2.06,NA,1682555202
251,benguela,-12.5763,13.4055,26.15,84,88,2.89,AO,1682555203
252,nemuro,43.3236,145.575,4.82,77,89,12.04,JP,1682555203
253,tsiombe,-25.3,45.4833,18.24,91,15,0.78,MG,1682555203
254,fale old settlement,-9.3852,-171.2468,28.55,74,81,5.22,TK,1682555203
255,quellon,-43.1167,-73.6167,9.14,81,75,1.54,CL,1682555204
256,rongelap,11.1635,166.8941,27.04,81,40,9.44,MH,1682555204
257,bloomfield,40.8068,-74.1854,12.59,77,100,5.14,US,1682554547
258,tokamachi,37.1333,138.7667,11.81,93,100,1.36,JP,1682555205
259,pospelikha,51.95,81.7667,9.11,70,94,3.06,RU,1682555205
260,holly springs,35.6513,-78.8336,16.1,89,100,1.79,US,1682555205
261,corner brook,48.9667,-57.9484,2.09,89,99,1.26,CA,1682555121
262,xiongzhou,25.1167,114.3,18.25,73,1,0.62,CN,1682555205
263,luau,-10.7073,22.2247,16.89,73,87,1.79,AO,1682555206
264,kualakapuas,-3.0091,114.3876,25.96,88,99,0.42,ID,1682555206
265,dhekiajuli,26.7,92.5,22.48,58,8,2.28,IN,1682555206
266,tadine,-21.55,167.8833,25.19,78,100,3.34,NC,1682555206
267,inarajan village,13.2736,144.7484,29.66,90,22,8.27,GU,1682555207
268,san patricio,28.017,-97.5169,26.97,74,68,6.79,US,1682555207
269,lumphat,13.4878,106.9816,26.68,68,88,3.52,KH,1682555207
270,isangel,-19.55,169.2667,28.06,83,75,1.54,VU,1682555208
271,ayaviri,-14.8864,-70.5889,7.32,45,20,2.3,PE,1682555172
272,praia da vitoria,38.7333,-27.0667,18.2,77,40,10.34,PT,1682555208
273,sao manuel,-22.7311,-48.5706,16.48,97,49,0.48,BR,1682555208
274,el rosario,24.2556,-107.1828,28.05,37,58,3.5,MX,1682555118
275,kyenjojo,0.6328,30.6214,16.04,100,56,0.6,UG,1682555209
276,kuusamo,65.9667,29.1833,0.02,64,0,3.6,FI,1682555209
277,homer,59.6425,-151.5483,6.94,59,100,4.12,US,1682555209
278,otjimbingwe,-22.35,16.1333,23.1,57,31,1.05,NA,1682555210
